month,store_id,product_id,total_units_sold,avg_inventory,turnover_ratio,turnover_group,movement
2022-01,S005,P0094,3147,147.0968,21.3941,2,"Medium Moving"
2022-01,S003,P0129,2774,129.5161,21.4182,2,"Medium Moving"
2022-01,S004,P0046,3938,183.1290,21.5040,2,"Medium Moving"
2022-01,S002,P0159,2802,130.2258,21.5165,2,"Medium Moving"
2022-01,S001,P0083,3302,153.2581,21.5454,2,"Medium Moving"
2022-01,S003,P0067,2742,127.0968,21.5741,2,"Medium Moving"
2022-01,S002,P0166,2909,134.8065,21.5791,2,"Medium Moving"
2022-01,S005,P0178,4332,200.5806,21.5973,2,"Medium Moving"
2022-01,S003,P0094,2918,135.0968,21.5993,2,"Medium Moving"
2022-01,S001,P0187,4214,195.0323,21.6067,2,"Medium Moving"
2022-01,S003,P0149,3012,139.3548,21.6139,2,"Medium Moving"
2022-01,S004,P0061,3959,183.0968,21.6224,2,"Medium Moving"
2022-01,S002,P0031,2944,135.7097,21.6934,2,"Medium Moving"
2022-01,S002,P0126,3785,174.4516,21.6966,2,"Medium Moving"
2022-01,S005,P0133,3849,177.2258,21.7181,2,"Medium Moving"
2022-01,S001,P0067,2764,127.2581,21.7196,3,"Fast Moving"
2022-01,S003,P0175,2872,132.1613,21.7310,3,"Fast Moving"
2022-01,S004,P0066,3777,173.7742,21.7351,3,"Fast Moving"
2022-01,S005,P0016,3604,165.8065,21.7362,3,"Fast Moving"
2022-01,S002,P0178,4082,187.7742,21.7389,3,"Fast Moving"
2022-01,S002,P0046,4086,187.3226,21.8126,3,"Fast Moving"
2022-01,S003,P0133,4087,187.2903,21.8217,3,"Fast Moving"
2022-01,S002,P0066,3861,176.5806,21.8654,3,"Fast Moving"
2022-01,S004,P0187,3853,176.1290,21.8760,3,"Fast Moving"
2022-01,S001,P0085,2700,123.3548,21.8881,3,"Fast Moving"
2022-01,S005,P0057,3697,168.5484,21.9344,3,"Fast Moving"
2022-01,S001,P0178,3614,164.6774,21.9459,3,"Fast Moving"
2022-01,S002,P0017,2987,136.0000,21.9632,3,"Fast Moving"
2022-01,S005,P0175,2641,120.1613,21.9788,3,"Fast Moving"
2022-01,S004,P0178,3757,170.8387,21.9915,3,"Fast Moving"
2022-01,S005,P0017,3204,145.5484,22.0133,3,"Fast Moving"
2022-01,S003,P0057,3887,176.2258,22.0569,3,"Fast Moving"
2022-01,S002,P0187,3612,163.6774,22.0678,3,"Fast Moving"
2022-01,S004,P0125,3751,169.9032,22.0773,3,"Fast Moving"
2022-01,S003,P0125,4176,188.6452,22.1368,3,"Fast Moving"
2022-01,S001,P0061,3760,169.8387,22.1387,3,"Fast Moving"
2022-01,S002,P0125,4197,189.3548,22.1647,3,"Fast Moving"
2022-01,S001,P0057,4054,181.8710,22.2905,3,"Fast Moving"
2022-01,S003,P0046,4129,185.1290,22.3034,3,"Fast Moving"
2022-01,S002,P0061,3825,170.5806,22.4234,3,"Fast Moving"
2022-01,S005,P0046,3983,177.5806,22.4292,3,"Fast Moving"
2022-01,S003,P0066,3757,167.2258,22.4666,3,"Fast Moving"
2022-01,S003,P0126,4059,180.0968,22.5379,3,"Fast Moving"
2022-01,S001,P0069,3886,171.8387,22.6142,3,"Fast Moving"
2022-01,S003,P0069,4450,196.6774,22.6259,3,"Fast Moving"
2022-01,S005,P0066,4022,177.3871,22.6736,3,"Fast Moving"
2022-01,S004,P0016,4091,179.2903,22.8177,3,"Fast Moving"
2022-01,S001,P0046,3681,161.1290,22.8450,3,"Fast Moving"
2022-01,S001,P0133,3974,173.6452,22.8858,3,"Fast Moving"
2022-01,S001,P0016,3890,169.8065,22.9084,3,"Fast Moving"
2022-01,S005,P0126,4114,179.1613,22.9625,3,"Fast Moving"
2022-01,S005,P0069,3788,164.8065,22.9845,3,"Fast Moving"
2022-01,S002,P0069,3948,171.6129,23.0053,3,"Fast Moving"
2022-01,S001,P0066,4022,174.7097,23.0210,3,"Fast Moving"
2022-01,S002,P0057,4167,180.2903,23.1127,3,"Fast Moving"
2022-01,S005,P0061,4234,182.2903,23.2267,3,"Fast Moving"
2022-01,S002,P0133,3986,170.8065,23.3364,3,"Fast Moving"
2022-01,S003,P0061,3843,164.6452,23.3411,3,"Fast Moving"
2022-01,S001,P0126,4180,178.9355,23.3604,3,"Fast Moving"
2022-01,S002,P0016,3954,169.1290,23.3786,3,"Fast Moving"
2022-01,S005,P0187,4089,173.7419,23.5349,3,"Fast Moving"
2022-01,S004,P0133,4377,185.5484,23.5895,3,"Fast Moving"
2022-01,S001,P0125,4175,176.8065,23.6134,3,"Fast Moving"
2022-01,S003,P0187,4360,184.1290,23.6790,3,"Fast Moving"
2022-01,S004,P0126,4165,173.8387,23.9590,3,"Fast Moving"
2022-02,S002,P0129,2269,142.7500,15.8949,1,"Slow Moving"
2022-02,S004,P0175,2231,139.2857,16.0174,1,"Slow Moving"
2022-02,S002,P0085,2281,141.7143,16.0958,1,"Slow Moving"
2022-02,S003,P0068,2334,140.8214,16.5742,1,"Slow Moving"
2022-02,S005,P0070,2281,136.0714,16.7633,1,"Slow Moving"
2022-02,S001,P0085,2311,137.7143,16.7811,1,"Slow Moving"
2022-02,S002,P0068,2322,138.2857,16.7913,1,"Slow Moving"
2022-02,S003,P0183,2493,147.7857,16.8690,1,"Slow Moving"
2022-02,S002,P0116,2414,142.2500,16.9701,1,"Slow Moving"
2022-02,S004,P0070,2507,147.5357,16.9925,1,"Slow Moving"
2022-02,S004,P0159,2199,129.1429,17.0277,1,"Slow Moving"
2022-02,S004,P0068,2192,128.2500,17.0916,1,"Slow Moving"
2022-02,S002,P0153,2597,151.8929,17.0976,1,"Slow Moving"
2022-02,S003,P0070,2370,138.3571,17.1296,1,"Slow Moving"
2022-02,S001,P0153,2445,142.2143,17.1924,1,"Slow Moving"
2022-02,S005,P0153,2320,134.7857,17.2125,1,"Slow Moving"
2022-02,S003,P0175,2593,149.9286,17.2949,1,"Slow Moving"
2022-02,S003,P0159,2257,130.1429,17.3425,1,"Slow Moving"
2022-02,S001,P0166,2260,130.0357,17.3798,1,"Slow Moving"
2022-02,S004,P0017,2620,150.5714,17.4004,1,"Slow Moving"
2022-02,S002,P0149,2739,156.8214,17.4657,1,"Slow Moving"
2022-02,S001,P0094,2439,139.4643,17.4883,1,"Slow Moving"
2022-02,S003,P0067,2407,137.4286,17.5146,1,"Slow Moving"
2022-02,S002,P0070,2272,129.6071,17.5299,1,"Slow Moving"
2022-02,S005,P0183,2377,135.4643,17.5471,1,"Slow Moving"
2022-02,S002,P0094,2414,137.3929,17.5701,1,"Slow Moving"
2022-02,S003,P0017,2580,146.6786,17.5895,1,"Slow Moving"
2022-02,S001,P0067,2636,149.4643,17.6363,1,"Slow Moving"
2022-02,S002,P0067,2549,144.0714,17.6926,1,"Slow Moving"
2022-02,S002,P0031,2215,125.0714,17.7099,1,"Slow Moving"
2022-02,S001,P0171,2284,128.8929,17.7201,1,"Slow Moving"
2022-02,S004,P0171,2659,149.9643,17.7309,1,"Slow Moving"
2022-02,S003,P0171,2639,148.7143,17.7454,1,"Slow Moving"
2022-02,S002,P0083,2581,145.4286,17.7475,1,"Slow Moving"
2022-02,S005,P0094,2650,149.2500,17.7554,1,"Slow Moving"
2022-02,S004,P0085,2396,134.8929,17.7622,1,"Slow Moving"
2022-02,S005,P0079,2614,146.8214,17.8039,1,"Slow Moving"
2022-02,S003,P0031,2565,143.7857,17.8390,1,"Slow Moving"
2022-02,S004,P0166,2577,143.8571,17.9136,1,"Slow Moving"
2022-02,S002,P0096,2641,146.9643,17.9704,1,"Slow Moving"
2022-02,S004,P0149,2724,151.5714,17.9717,1,"Slow Moving"
2022-02,S001,P0116,2615,145.2857,17.9990,1,"Slow Moving"
2022-02,S004,P0094,2763,153.3929,18.0126,1,"Slow Moving"
2022-02,S005,P0129,2538,140.6429,18.0457,1,"Slow Moving"
2022-02,S005,P0017,2402,133.0000,18.0602,1,"Slow Moving"
2022-02,S002,P0159,2656,146.9643,18.0724,1,"Slow Moving"
2022-02,S005,P0096,2691,148.8571,18.0777,1,"Slow Moving"
2022-02,S003,P0094,2536,140.0714,18.1050,1,"Slow Moving"
2022-02,S004,P0083,2467,136.1786,18.1159,1,"Slow Moving"
2022-02,S003,P0079,2555,140.7857,18.1481,1,"Slow Moving"
2022-02,S001,P0149,2651,146.0000,18.1575,2,"Medium Moving"
2022-02,S002,P0171,2396,131.8214,18.1761,2,"Medium Moving"
2022-02,S003,P0085,2158,118.3214,18.2385,2,"Medium Moving"
2022-02,S001,P0079,2735,149.8929,18.2464,2,"Medium Moving"
2022-02,S001,P0129,2776,151.5000,18.3234,2,"Medium Moving"
2022-02,S003,P0083,2803,152.7857,18.3460,2,"Medium Moving"
2022-02,S001,P0175,2463,134.1429,18.3610,2,"Medium Moving"
2022-02,S005,P0031,2644,143.9286,18.3702,2,"Medium Moving"
2022-02,S002,P0079,2598,141.3571,18.3790,2,"Medium Moving"
2022-02,S001,P0096,2499,135.8214,18.3992,2,"Medium Moving"
2022-02,S005,P0149,2915,158.3214,18.4119,2,"Medium Moving"
2022-02,S003,P0129,2590,140.3929,18.4482,2,"Medium Moving"
2022-02,S005,P0159,2365,128.0357,18.4714,2,"Medium Moving"
2022-02,S005,P0175,2411,130.3214,18.5004,2,"Medium Moving"
2022-02,S005,P0085,2659,143.5714,18.5204,2,"Medium Moving"
2022-02,S001,P0070,2305,124.4286,18.5247,2,"Medium Moving"
2022-02,S004,P0079,2600,140.1429,18.5525,2,"Medium Moving"
2022-02,S001,P0083,2453,131.4286,18.6641,2,"Medium Moving"
2022-02,S001,P0031,2405,128.6429,18.6952,2,"Medium Moving"
2022-02,S003,P0096,2559,136.7857,18.7081,2,"Medium Moving"
2022-02,S005,P0083,2724,145.5714,18.7125,2,"Medium Moving"
2022-02,S005,P0067,2730,145.7857,18.7261,2,"Medium Moving"
2022-02,S005,P0116,2568,137.1071,18.7299,2,"Medium Moving"
2022-02,S005,P0068,2468,131.7500,18.7324,2,"Medium Moving"
2022-02,S003,P0149,2301,122.7857,18.7400,2,"Medium Moving"
2022-02,S004,P0183,2346,125.1071,18.7519,2,"Medium Moving"
2022-02,S001,P0183,2390,127.2857,18.7767,2,"Medium Moving"
2022-02,S001,P0159,2517,133.6071,18.8388,2,"Medium Moving"
2022-02,S002,P0183,2487,132.0000,18.8409,2,"Medium Moving"
2022-02,S004,P0129,2925,154.3214,18.9539,2,"Medium Moving"
2022-02,S002,P0017,2779,146.4643,18.9739,2,"Medium Moving"
2022-02,S001,P0068,2623,137.2857,19.1061,2,"Medium Moving"
2022-02,S003,P0046,3597,187.5357,19.1803,2,"Medium Moving"
2022-02,S003,P0153,2687,140.0000,19.1929,2,"Medium Moving"
2022-02,S001,P0066,3621,188.5714,19.2023,2,"Medium Moving"
2022-02,S004,P0096,2560,133.0357,19.2430,2,"Medium Moving"
2022-02,S005,P0171,2502,129.5714,19.3098,2,"Medium Moving"
2022-02,S004,P0031,2587,133.5357,19.3731,2,"Medium Moving"
2022-02,S001,P0061,3722,191.5357,19.4324,2,"Medium Moving"
2022-02,S003,P0116,2635,135.5357,19.4414,2,"Medium Moving"
2022-02,S005,P0126,3560,183.0000,19.4536,2,"Medium Moving"
2022-02,S003,P0061,3350,172.1786,19.4565,2,"Medium Moving"
2022-02,S004,P0153,2452,125.4286,19.5490,2,"Medium Moving"
2022-02,S001,P0016,3343,170.9643,19.5538,2,"Medium Moving"
2022-02,S003,P0166,2819,144.1429,19.5570,2,"Medium Moving"
2022-02,S002,P0175,2624,133.5357,19.6502,2,"Medium Moving"
2022-02,S004,P0116,2563,130.3571,19.6614,2,"Medium Moving"
2022-02,S004,P0187,3659,186.0357,19.6683,2,"Medium Moving"
2022-02,S005,P0046,2954,150.1429,19.6746,2,"Medium Moving"
2022-02,S001,P0017,2530,128.5357,19.6832,2,"Medium Moving"
2022-02,S002,P0061,3692,187.1071,19.7320,3,"Fast Moving"
2022-02,S005,P0066,3502,177.2500,19.7574,3,"Fast Moving"
2022-02,S004,P0057,3603,182.0714,19.7889,3,"Fast Moving"
2022-02,S004,P0125,3494,176.3571,19.8121,3,"Fast Moving"
2022-02,S004,P0067,2792,140.8214,19.8265,3,"Fast Moving"
2022-02,S005,P0061,3584,180.5357,19.8520,3,"Fast Moving"
2022-02,S003,P0016,3657,183.8571,19.8904,3,"Fast Moving"
2022-02,S002,P0046,3861,193.8929,19.9131,3,"Fast Moving"
2022-02,S003,P0066,3340,167.6786,19.9191,3,"Fast Moving"
2022-02,S001,P0046,3721,186.3571,19.9670,3,"Fast Moving"
2022-02,S001,P0069,3410,170.6786,19.9791,3,"Fast Moving"
2022-02,S002,P0166,2818,141.0000,19.9858,3,"Fast Moving"
2022-02,S003,P0125,3833,191.5357,20.0119,3,"Fast Moving"
2022-02,S003,P0187,3615,180.6071,20.0158,3,"Fast Moving"
2022-02,S001,P0187,3810,188.7500,20.1854,3,"Fast Moving"
2022-02,S003,P0069,3872,190.8571,20.2874,3,"Fast Moving"
2022-02,S004,P0126,3704,182.3571,20.3118,3,"Fast Moving"
2022-02,S002,P0016,3861,190.0714,20.3134,3,"Fast Moving"
2022-02,S002,P0178,3678,180.8214,20.3405,3,"Fast Moving"
2022-02,S003,P0178,3839,188.7143,20.3429,3,"Fast Moving"
2022-02,S002,P0133,3315,162.9286,20.3463,3,"Fast Moving"
2022-02,S004,P0046,3639,178.8214,20.3499,3,"Fast Moving"
2022-02,S002,P0069,4134,202.0000,20.4653,3,"Fast Moving"
2022-02,S001,P0133,3407,166.2143,20.4976,3,"Fast Moving"
2022-02,S002,P0126,3659,178.2143,20.5315,3,"Fast Moving"
2022-02,S003,P0126,3003,146.2143,20.5383,3,"Fast Moving"
2022-02,S004,P0133,3542,172.3571,20.5504,3,"Fast Moving"
2022-02,S004,P0069,3218,156.5714,20.5529,3,"Fast Moving"
2022-02,S005,P0133,3462,168.4286,20.5547,3,"Fast Moving"
2022-02,S005,P0125,3398,165.1071,20.5806,3,"Fast Moving"
2022-02,S001,P0125,3634,176.3929,20.6017,3,"Fast Moving"
2022-02,S004,P0178,3709,179.3571,20.6794,3,"Fast Moving"
2022-02,S005,P0057,3635,175.5357,20.7080,3,"Fast Moving"
2022-02,S005,P0178,3711,178.9286,20.7401,3,"Fast Moving"
2022-02,S001,P0057,3607,173.8214,20.7512,3,"Fast Moving"
2022-02,S001,P0178,3934,189.3214,20.7795,3,"Fast Moving"
2022-02,S005,P0016,3639,174.6786,20.8325,3,"Fast Moving"
2022-02,S005,P0166,2455,117.6786,20.8619,3,"Fast Moving"
2022-02,S004,P0016,3604,172.7143,20.8668,3,"Fast Moving"
2022-02,S002,P0066,3775,180.6071,20.9017,3,"Fast Moving"
2022-02,S003,P0057,3706,177.1786,20.9168,3,"Fast Moving"
2022-02,S004,P0061,3926,186.6071,21.0389,3,"Fast Moving"
2022-02,S005,P0069,3559,169.0000,21.0592,3,"Fast Moving"
2022-02,S002,P0057,3519,166.0714,21.1897,3,"Fast Moving"
2022-02,S003,P0133,3741,176.5000,21.1955,3,"Fast Moving"
2022-02,S005,P0187,3710,174.5714,21.2520,3,"Fast Moving"
2022-02,S002,P0187,3666,169.0714,21.6831,3,"Fast Moving"
2022-02,S002,P0125,3557,163.6071,21.7411,3,"Fast Moving"
2022-02,S004,P0066,3858,173.9643,22.1770,3,"Fast Moving"
2022-02,S001,P0126,3602,162.1786,22.2101,3,"Fast Moving"
2022-03,S002,P0085,2338,132.3226,17.6689,1,"Slow Moving"
2022-03,S001,P0149,2518,140.5484,17.9155,1,"Slow Moving"
2022-03,S001,P0068,2513,139.7097,17.9873,1,"Slow Moving"
2022-03,S001,P0183,2385,132.3226,18.0241,1,"Slow Moving"
2022-03,S001,P0066,2491,135.2581,18.4166,1,"Slow Moving"
2022-03,S004,P0031,2454,132.5806,18.5095,1,"Slow Moving"
2022-03,S003,P0126,2524,135.9355,18.5676,1,"Slow Moving"
2022-03,S004,P0046,2817,151.3548,18.6119,1,"Slow Moving"
2022-03,S004,P0016,2638,141.0000,18.7092,1,"Slow Moving"
2022-03,S004,P0175,2590,138.3226,18.7243,1,"Slow Moving"
2022-03,S002,P0069,2892,153.9677,18.7832,1,"Slow Moving"
2022-03,S004,P0061,2639,140.2581,18.8153,1,"Slow Moving"
2022-03,S001,P0017,2597,137.6774,18.8629,1,"Slow Moving"
2022-03,S001,P0178,2550,135.1290,18.8709,1,"Slow Moving"
2022-03,S003,P0171,2464,130.4194,18.8929,1,"Slow Moving"
2022-03,S001,P0129,2661,140.8065,18.8983,1,"Slow Moving"
2022-03,S002,P0153,2705,143.1290,18.8990,1,"Slow Moving"
2022-03,S002,P0175,2520,132.8387,18.9704,1,"Slow Moving"
2022-03,S002,P0070,2429,128.0323,18.9718,1,"Slow Moving"
2022-03,S003,P0070,2847,149.6774,19.0209,1,"Slow Moving"
2022-03,S002,P0116,2534,132.8387,19.0758,1,"Slow Moving"
2022-03,S001,P0125,2690,141.0000,19.0780,1,"Slow Moving"
2022-03,S001,P0085,2716,142.2258,19.0964,1,"Slow Moving"
2022-03,S002,P0083,2558,133.9032,19.1033,1,"Slow Moving"
2022-03,S002,P0125,2518,131.7419,19.1131,1,"Slow Moving"
2022-03,S001,P0016,2659,139.0645,19.1206,1,"Slow Moving"
2022-03,S005,P0126,2762,144.0000,19.1806,1,"Slow Moving"
2022-03,S003,P0085,2512,130.9355,19.1850,1,"Slow Moving"
2022-03,S003,P0083,2862,149.1290,19.1914,1,"Slow Moving"
2022-03,S003,P0069,2876,149.6774,19.2147,1,"Slow Moving"
2022-03,S003,P0187,2900,150.7419,19.2382,1,"Slow Moving"
2022-03,S002,P0094,2590,134.1935,19.3005,1,"Slow Moving"
2022-03,S002,P0166,2805,145.2903,19.3062,1,"Slow Moving"
2022-03,S004,P0159,2628,136.0968,19.3098,1,"Slow Moving"
2022-03,S001,P0094,2890,149.5161,19.3290,1,"Slow Moving"
2022-03,S002,P0129,2729,140.7742,19.3857,1,"Slow Moving"
2022-03,S001,P0057,2606,134.3871,19.3917,1,"Slow Moving"
2022-03,S003,P0116,2813,145.0000,19.4000,1,"Slow Moving"
2022-03,S003,P0046,2746,141.2903,19.4352,1,"Slow Moving"
2022-03,S005,P0070,2550,131.1935,19.4369,1,"Slow Moving"
2022-03,S003,P0096,2935,150.6452,19.4829,1,"Slow Moving"
2022-03,S003,P0166,2675,137.1290,19.5072,1,"Slow Moving"
2022-03,S005,P0187,2952,151.2581,19.5163,1,"Slow Moving"
2022-03,S004,P0094,2590,132.6774,19.5210,1,"Slow Moving"
2022-03,S002,P0068,2568,131.2903,19.5597,1,"Slow Moving"
2022-03,S005,P0066,2621,133.9677,19.5644,1,"Slow Moving"
2022-03,S005,P0085,2790,142.4516,19.5856,1,"Slow Moving"
2022-03,S004,P0153,2856,145.4516,19.6354,1,"Slow Moving"
2022-03,S005,P0171,2594,131.9355,19.6611,1,"Slow Moving"
2022-03,S001,P0175,2734,138.8710,19.6873,1,"Slow Moving"
2022-03,S003,P0066,3333,169.1290,19.7068,2,"Medium Moving"
2022-03,S003,P0061,2923,148.2581,19.7156,2,"Medium Moving"
2022-03,S004,P0079,2982,150.8387,19.7695,2,"Medium Moving"
2022-03,S003,P0067,2821,142.6774,19.7719,2,"Medium Moving"
2022-03,S002,P0159,2872,145.1613,19.7849,2,"Medium Moving"
2022-03,S004,P0126,2945,148.5484,19.8252,2,"Medium Moving"
2022-03,S004,P0129,2955,148.7419,19.8666,2,"Medium Moving"
2022-03,S001,P0069,2704,135.8065,19.9107,2,"Medium Moving"
2022-03,S001,P0061,2916,146.4516,19.9110,2,"Medium Moving"
2022-03,S004,P0066,2955,148.3871,19.9141,2,"Medium Moving"
2022-03,S005,P0153,2730,137.0645,19.9176,2,"Medium Moving"
2022-03,S004,P0067,3142,157.1290,19.9963,2,"Medium Moving"
2022-03,S004,P0017,2770,138.4516,20.0070,2,"Medium Moving"
2022-03,S003,P0094,2857,142.7419,20.0151,2,"Medium Moving"
2022-03,S002,P0079,2783,138.9355,20.0309,2,"Medium Moving"
2022-03,S004,P0085,2814,140.4516,20.0354,2,"Medium Moving"
2022-03,S001,P0187,2952,147.2903,20.0420,2,"Medium Moving"
2022-03,S001,P0067,2794,139.3871,20.0449,2,"Medium Moving"
2022-03,S003,P0057,3076,153.3871,20.0538,2,"Medium Moving"
2022-03,S005,P0016,2904,144.7097,20.0678,2,"Medium Moving"
2022-03,S001,P0116,2950,146.7419,20.1033,2,"Medium Moving"
2022-03,S001,P0133,2600,129.2903,20.1098,2,"Medium Moving"
2022-03,S004,P0187,3029,150.0000,20.1933,2,"Medium Moving"
2022-03,S005,P0159,2540,125.7742,20.1949,2,"Medium Moving"
2022-03,S005,P0149,2682,132.5484,20.2341,2,"Medium Moving"
2022-03,S005,P0133,2764,136.4194,20.2611,2,"Medium Moving"
2022-03,S003,P0016,3083,152.1613,20.2614,2,"Medium Moving"
2022-03,S001,P0166,2922,144.1935,20.2644,2,"Medium Moving"
2022-03,S003,P0031,2659,131.1290,20.2777,2,"Medium Moving"
2022-03,S004,P0096,2922,144.0323,20.2871,2,"Medium Moving"
2022-03,S005,P0068,2769,136.4839,20.2881,2,"Medium Moving"
2022-03,S001,P0079,2854,140.3548,20.3342,2,"Medium Moving"
2022-03,S004,P0166,2893,142.1290,20.3547,2,"Medium Moving"
2022-03,S002,P0067,2819,138.4194,20.3656,2,"Medium Moving"
2022-03,S004,P0183,2599,127.6129,20.3663,2,"Medium Moving"
2022-03,S005,P0046,2892,141.9355,20.3755,2,"Medium Moving"
