date,store_id,product_id,inventory_level,avg_last_30_days,days_of_supply
2022-01-13,S001,P0031,201,104.8462,1.9
2022-01-14,S001,P0031,142,103.2143,1.4
2022-01-15,S001,P0031,103,100.4000,1.0
2022-01-16,S001,P0031,170,103.1875,1.6
2022-01-17,S001,P0031,90,101.3529,0.9
2022-01-18,S001,P0031,95,98.2778,1.0
2022-01-19,S001,P0031,111,97.7368,1.1
2022-01-20,S001,P0031,213,98.8500,2.2
2022-01-21,S001,P0031,189,99.3333,1.9
2022-01-22,S001,P0031,159,98.9091,1.6
2022-01-23,S001,P0031,187,98.1739,1.9
2022-01-24,S001,P0031,120,98.7500,1.2
2022-01-25,S001,P0031,158,100.1200,1.6
2022-01-01,S001,P0046,139,117.0000,1.2
2022-01-02,S001,P0046,89,92.5000,1.0
2022-01-03,S001,P0046,112,96.0000,1.2
2022-01-04,S001,P0046,81,95.0000,0.9
2022-01-05,S001,P0046,179,96.8000,1.8
2022-01-06,S001,P0046,151,95.3333,1.6
2022-01-07,S001,P0046,195,111.4286,1.7
2022-01-08,S001,P0046,99,107.0000,0.9
2022-01-09,S001,P0046,175,108.5556,1.6
2022-01-10,S001,P0046,174,112.2000,1.6
2022-01-11,S001,P0046,233,115.3636,2.0
2022-01-12,S001,P0046,144,115.0833,1.3
2022-01-13,S001,P0046,175,114.7692,1.5
2022-01-14,S001,P0046,160,115.2857,1.4
2022-01-15,S001,P0046,137,113.6000,1.2
2022-01-16,S001,P0046,77,111.4375,0.7
2022-01-17,S001,P0046,266,116.4706,2.3
2022-01-18,S001,P0046,155,114.1111,1.4
2022-01-19,S001,P0046,208,115.3684,1.8
2022-01-20,S001,P0046,290,119.5000,2.4
2022-01-21,S001,P0046,146,120.4762,1.2
2022-01-22,S001,P0046,249,123.5000,2.0
2022-01-23,S001,P0046,186,126.0870,1.5
2022-01-24,S001,P0046,218,126.8333,1.7
2022-01-25,S001,P0046,124,124.4400,1.0
2022-01-01,S001,P0057,142,115.0000,1.2
2022-01-02,S001,P0057,156,94.0000,1.7
2022-01-03,S001,P0057,101,99.6667,1.0
2022-01-04,S001,P0057,200,108.2500,1.8
2022-01-05,S001,P0057,182,116.0000,1.6
2022-01-06,S001,P0057,164,114.1667,1.4
2022-01-07,S001,P0057,90,107.8571,0.8
2022-01-08,S001,P0057,134,104.5000,1.3
2022-01-09,S001,P0057,190,108.4444,1.8
2022-01-10,S001,P0057,165,113.1000,1.5
2022-01-11,S001,P0057,211,119.7273,1.8
2022-01-12,S001,P0057,206,121.3333,1.7
2022-01-13,S001,P0057,226,122.3846,1.8
2022-01-14,S001,P0057,235,125.2143,1.9
2022-01-15,S001,P0057,107,122.9333,0.9
2022-01-16,S001,P0057,165,121.9375,1.4
2022-01-17,S001,P0057,192,126.9412,1.5
2022-01-18,S001,P0057,212,125.8889,1.7
2022-01-19,S001,P0057,259,128.1053,2.0
2022-01-20,S001,P0057,109,126.8500,0.9
2022-01-21,S001,P0057,305,130.3333,2.3
2022-01-22,S001,P0057,144,128.4545,1.1
2022-01-23,S001,P0057,166,126.7391,1.3
2022-01-24,S001,P0057,294,129.5417,2.3
2022-01-25,S001,P0057,198,130.8800,1.5
2022-01-01,S001,P0061,180,94.0000,1.9
2022-01-02,S001,P0061,168,107.0000,1.6
2022-01-03,S001,P0061,194,119.0000,1.6
2022-01-04,S001,P0061,153,108.2500,1.4
2022-01-05,S001,P0061,243,122.0000,2.0
2022-01-06,S001,P0061,338,136.6667,2.5
2022-01-07,S001,P0061,174,138.5714,1.3
2022-01-08,S001,P0061,121,139.7500,0.9
2022-01-09,S001,P0061,179,134.2222,1.3
2022-01-10,S001,P0061,82,126.7000,0.6
2022-01-11,S001,P0061,183,128.4545,1.4
2022-01-12,S001,P0061,91,122.4167,0.7
2022-01-13,S001,P0061,200,121.4615,1.6
2022-01-14,S001,P0061,155,123.6429,1.3
2022-01-15,S001,P0061,71,119.8667,0.6
2022-01-16,S001,P0061,109,117.7500,0.9
2022-01-17,S001,P0061,153,114.8235,1.3
2022-01-18,S001,P0061,152,116.5000,1.3
2022-01-19,S001,P0061,164,116.9474,1.4
2022-01-20,S001,P0061,226,117.8000,1.9
2022-01-21,S001,P0061,176,116.2381,1.5
2022-01-22,S001,P0061,172,117.7273,1.5
2022-01-23,S001,P0061,142,118.4783,1.2
2022-01-24,S001,P0061,213,120.5000,1.8
2022-01-01,S001,P0066,190,138.0000,1.4
2022-01-02,S001,P0066,169,127.5000,1.3
2022-01-03,S001,P0066,101,111.0000,0.9
2022-01-04,S001,P0066,245,114.2500,2.1
2022-01-05,S001,P0066,180,113.6000,1.6
2022-01-06,S001,P0066,211,116.0000,1.8
2022-01-07,S001,P0066,202,119.1429,1.7
2022-01-08,S001,P0066,182,121.6250,1.5
2022-01-09,S001,P0066,273,134.5556,2.0
2022-01-10,S001,P0066,180,131.7000,1.4
2022-01-11,S001,P0066,131,125.5455,1.0
2022-01-12,S001,P0066,84,122.8333,0.7
2022-01-13,S001,P0066,134,123.1538,1.1
2022-01-14,S001,P0066,105,121.9286,0.9
2022-01-15,S001,P0066,238,124.0667,1.9
2022-01-16,S001,P0066,203,125.5000,1.6
2022-01-17,S001,P0066,122,123.5882,1.0
2022-01-18,S001,P0066,234,128.1667,1.8
2022-01-19,S001,P0066,160,126.2632,1.3
2022-01-20,S001,P0066,76,122.6000,0.6
2022-01-21,S001,P0066,253,126.7619,2.0
2022-01-22,S001,P0066,158,128.4091,1.2
2022-01-23,S001,P0066,177,128.9130,1.4
2022-01-24,S001,P0066,117,127.8333,0.9
2022-01-01,S001,P0067,101,93.0000,1.1
2022-01-02,S001,P0067,72,73.0000,1.0
2022-01-03,S001,P0067,264,105.0000,2.5
2022-01-04,S001,P0067,91,95.5000,1.0
2022-01-05,S001,P0067,229,101.8000,2.2
2022-01-06,S001,P0067,81,94.6667,0.9
2022-01-07,S001,P0067,124,93.5714,1.3
2022-01-08,S001,P0067,107,91.2500,1.2
2022-01-09,S001,P0067,96,92.4444,1.0
2022-01-10,S001,P0067,144,98.3000,1.5
2022-01-11,S001,P0067,128,98.8182,1.3
2022-01-12,S001,P0067,102,95.0833,1.1
2022-01-13,S001,P0067,151,96.0000,1.6
2022-01-14,S001,P0067,120,95.3571,1.3
2022-01-15,S001,P0067,140,94.4000,1.5
2022-01-16,S001,P0067,126,93.7500,1.3
2022-01-17,S001,P0067,82,91.4118,0.9
2022-01-18,S001,P0067,121,91.5000,1.3
2022-01-19,S001,P0067,190,96.4737,2.0
2022-01-20,S001,P0067,140,96.5000,1.5
2022-01-21,S001,P0067,118,94.0952,1.3
2022-01-22,S001,P0067,50,92.3636,0.5
2022-01-23,S001,P0067,134,90.6522,1.5
2022-01-24,S001,P0067,129,90.2083,1.4
2022-01-25,S001,P0067,219,92.1200,2.4
2022-01-01,S001,P0068,70,44.0000,1.6
2022-01-02,S001,P0068,147,63.0000,2.3
2022-01-03,S001,P0068,116,79.6667,1.5
2022-01-04,S001,P0068,105,77.7500,1.4
2022-01-05,S001,P0068,109,82.0000,1.3
2022-01-06,S001,P0068,150,83.0000,1.8
2022-01-07,S001,P0068,103,81.7143,1.3
2022-01-08,S001,P0068,142,81.7500,1.7
2022-01-09,S001,P0068,118,78.7778,1.5
2022-01-10,S001,P0068,113,82.0000,1.4
2022-01-11,S001,P0068,126,78.0909,1.6
2022-01-12,S001,P0068,134,74.8333,1.8
2022-01-13,S001,P0068,116,75.7692,1.5
2022-01-14,S001,P0068,104,73.0714,1.4
2022-01-15,S001,P0068,164,75.0000,2.2
2022-01-16,S001,P0068,133,76.3125,1.7
2022-01-17,S001,P0068,90,75.3529,1.2
2022-01-18,S001,P0068,216,78.5556,2.7
2022-01-19,S001,P0068,127,79.9474,1.6
2022-01-20,S001,P0068,150,81.7000,1.8
2022-01-21,S001,P0068,88,81.2857,1.1
2022-01-22,S001,P0068,96,81.0909,1.2
2022-01-23,S001,P0068,135,80.2609,1.7
2022-01-24,S001,P0068,132,81.0417,1.6
2022-01-01,S001,P0069,58,53.0000,1.1
2022-01-02,S001,P0069,209,102.5000,2.0
2022-01-03,S001,P0069,192,108.3333,1.8
2022-01-04,S001,P0069,199,117.5000,1.7
2022-01-05,S001,P0069,206,132.0000,1.6
2022-01-06,S001,P0069,145,131.0000,1.1
2022-01-07,S001,P0069,173,122.4286,1.4
2022-01-08,S001,P0069,195,126.0000,1.5
2022-01-09,S001,P0069,92,120.3333,0.8
2022-01-10,S001,P0069,240,123.9000,1.9
2022-01-11,S001,P0069,117,120.6364,1.0
2022-01-12,S001,P0069,191,118.9167,1.6
2022-01-13,S001,P0069,223,124.0769,1.8
2022-01-14,S001,P0069,152,124.6429,1.2
2022-01-15,S001,P0069,212,129.2667,1.6
2022-01-16,S001,P0069,134,129.3125,1.0
2022-01-17,S001,P0069,206,130.2353,1.6
2022-01-18,S001,P0069,84,124.8333,0.7
2022-01-19,S001,P0069,219,126.7895,1.7
2022-01-20,S001,P0069,117,125.6000,0.9
2022-01-21,S001,P0069,184,125.2381,1.5
2022-01-22,S001,P0069,173,125.0455,1.4
2022-01-23,S001,P0069,96,122.2174,0.8
2022-01-24,S001,P0069,307,125.8333,2.4
2022-01-25,S001,P0069,220,126.6000,1.7
2022-01-01,S001,P0070,99,59.0000,1.7
2022-01-02,S001,P0070,217,108.5000,2.0
2022-01-03,S001,P0070,123,96.6667,1.3
2022-01-04,S001,P0070,69,89.7500,0.8
2022-01-05,S001,P0070,98,90.4000,1.1
2022-01-06,S001,P0070,146,96.8333,1.5
2022-01-07,S001,P0070,72,84.2857,0.9
2022-01-08,S001,P0070,104,82.8750,1.3
2022-01-09,S001,P0070,129,82.3333,1.6
2022-01-10,S001,P0070,168,82.0000,2.0
2022-01-11,S001,P0070,99,81.0909,1.2
2022-01-12,S001,P0070,142,79.6667,1.8
2022-01-13,S001,P0070,108,79.5385,1.4
2022-01-14,S001,P0070,155,78.4286,2.0
2022-01-15,S001,P0070,185,79.6000,2.3
2022-01-16,S001,P0070,63,77.6250,0.8
2022-01-17,S001,P0070,123,80.4706,1.5
2022-01-18,S001,P0070,158,80.5000,2.0
2022-01-19,S001,P0070,185,81.1053,2.3
2022-01-20,S001,P0070,170,81.0000,2.1
2022-01-21,S001,P0070,162,82.1905,2.0
2022-01-22,S001,P0070,62,81.9545,0.8
2022-01-23,S001,P0070,103,81.2174,1.3
2022-01-24,S001,P0070,237,83.2917,2.8
2022-01-25,S001,P0070,168,86.2400,1.9
2022-01-01,S001,P0079,130,100.0000,1.3
2022-01-02,S001,P0079,59,69.0000,0.9
2022-01-03,S001,P0079,78,62.6667,1.2
2022-01-04,S001,P0079,101,64.7500,1.6
2022-01-05,S001,P0079,173,69.0000,2.5
2022-01-06,S001,P0079,99,71.3333,1.4
2022-01-07,S001,P0079,83,70.7143,1.2
2022-01-08,S001,P0079,85,74.7500,1.1
2022-01-09,S001,P0079,182,82.3333,2.2
2022-01-10,S001,P0079,188,84.0000,2.2
2022-01-11,S001,P0079,170,90.8182,1.9
2022-01-12,S001,P0079,162,89.5833,1.8
2022-01-13,S001,P0079,161,90.6923,1.8
2022-01-14,S001,P0079,135,88.7143,1.5
2022-01-15,S001,P0079,146,88.2000,1.7
2022-01-16,S001,P0079,111,85.6250,1.3
2022-01-17,S001,P0079,168,86.7059,1.9
2022-01-18,S001,P0079,122,87.1667,1.4
2022-01-19,S001,P0079,168,89.3684,1.9
2022-01-20,S001,P0079,201,89.6000,2.2
2022-01-21,S001,P0079,114,86.2381,1.3
2022-01-22,S001,P0079,187,87.4545,2.1
2022-01-23,S001,P0079,125,87.3043,1.4
2022-01-24,S001,P0079,63,86.0833,0.7
2022-01-25,S001,P0079,161,86.6800,1.9
2022-01-01,S001,P0083,151,99.0000,1.5
2022-01-02,S001,P0083,209,112.0000,1.9
2022-01-03,S001,P0083,227,113.0000,2.0
2022-01-04,S001,P0083,241,121.2500,2.0
2022-01-05,S001,P0083,149,110.8000,1.3
2022-01-06,S001,P0083,206,119.0000,1.7
2022-01-07,S001,P0083,81,104.1429,0.8
2022-01-08,S001,P0083,170,104.1250,1.6
2022-01-09,S001,P0083,120,100.3333,1.2
2022-01-10,S001,P0083,125,99.9000,1.3
2022-01-11,S001,P0083,87,96.0000,0.9
2022-01-12,S001,P0083,186,97.3333,1.9
2022-01-13,S001,P0083,188,99.5385,1.9
2022-01-14,S001,P0083,114,98.9286,1.2
2022-01-15,S001,P0083,204,103.6000,2.0
2022-01-16,S001,P0083,111,102.5625,1.1
2022-01-17,S001,P0083,77,100.5294,0.8
2022-01-18,S001,P0083,190,106.1111,1.8
2022-01-19,S001,P0083,216,107.4737,2.0
2022-01-20,S001,P0083,99,104.6500,0.9
2022-01-21,S001,P0083,237,106.6190,2.2
2022-01-22,S001,P0083,143,108.2273,1.3
2022-01-23,S001,P0083,88,106.6087,0.8
2022-01-24,S001,P0083,126,107.2917,1.2
2022-01-25,S001,P0083,127,107.3200,1.2
2022-01-01,S001,P0085,154,92.0000,1.7
2022-01-02,S001,P0085,105,64.0000,1.6
2022-01-03,S001,P0085,86,70.0000,1.2
2022-01-04,S001,P0085,73,72.2500,1.0
2022-01-05,S001,P0085,98,66.6000,1.5
2022-01-06,S001,P0085,103,65.1667,1.6
2022-01-07,S001,P0085,105,60.5714,1.7
2022-01-08,S001,P0085,96,61.6250,1.6
2022-01-09,S001,P0085,45,60.5556,0.7
2022-01-10,S001,P0085,190,67.9000,2.8
2022-01-11,S001,P0085,143,71.6364,2.0
2022-01-12,S001,P0085,127,72.7500,1.7
2022-01-13,S001,P0085,176,76.8462,2.3
2022-01-14,S001,P0085,226,84.0000,2.7
2022-01-15,S001,P0085,147,86.5333,1.7
2022-01-16,S001,P0085,210,90.0000,2.3
2022-01-17,S001,P0085,93,88.5294,1.1
2022-01-18,S001,P0085,138,90.0556,1.5
2022-01-19,S001,P0085,135,90.4737,1.5
2022-01-20,S001,P0085,94,90.2500,1.0
2022-01-21,S001,P0085,150,88.6667,1.7
2022-01-22,S001,P0085,68,88.1818,0.8
2022-01-23,S001,P0085,168,88.7391,1.9
2022-01-24,S001,P0085,89,88.3333,1.0
2022-01-01,S001,P0094,147,65.0000,2.3
2022-01-02,S001,P0094,115,73.5000,1.6
2022-01-03,S001,P0094,199,112.0000,1.8
2022-01-04,S001,P0094,131,107.0000,1.2
2022-01-05,S001,P0094,112,105.6000,1.1
2022-01-06,S001,P0094,116,98.5000,1.2
2022-01-07,S001,P0094,222,103.7143,2.1
2022-01-08,S001,P0094,119,101.2500,1.2
2022-01-09,S001,P0094,174,98.1111,1.8
2022-01-10,S001,P0094,80,92.1000,0.9
2022-01-11,S001,P0094,105,91.8182,1.1
2022-01-12,S001,P0094,203,94.2500,2.2
2022-01-13,S001,P0094,196,94.0769,2.1
2022-01-14,S001,P0094,187,93.4286,2.0
2022-01-15,S001,P0094,118,91.1333,1.3
2022-01-16,S001,P0094,179,92.6875,1.9
2022-01-17,S001,P0094,210,93.4706,2.2
2022-01-18,S001,P0094,52,90.8889,0.6
2022-01-19,S001,P0094,220,93.4211,2.4
2022-01-20,S001,P0094,174,93.2000,1.9
2022-01-21,S001,P0094,38,89.7143,0.4
2022-01-22,S001,P0094,172,90.1818,1.9
2022-01-23,S001,P0094,156,89.1304,1.8
2022-01-24,S001,P0094,175,90.2500,1.9
2022-01-01,S001,P0096,158,134.0000,1.2
2022-01-02,S001,P0096,91,96.0000,0.9
2022-01-03,S001,P0096,187,120.3333,1.6
2022-01-04,S001,P0096,145,110.7500,1.3
2022-01-05,S001,P0096,143,111.6000,1.3
2022-01-06,S001,P0096,215,119.8333,1.8
2022-01-07,S001,P0096,90,114.1429,0.8
2022-01-08,S001,P0096,125,107.1250,1.2
2022-01-09,S001,P0096,129,101.5556,1.3
2022-01-10,S001,P0096,100,99.2000,1.0
2022-01-11,S001,P0096,139,99.5455,1.4
2022-01-12,S001,P0096,87,97.4167,0.9
2022-01-13,S001,P0096,104,97.3846,1.1
2022-01-14,S001,P0096,121,96.7143,1.3
2022-01-15,S001,P0096,100,96.6667,1.0
2022-01-16,S001,P0096,176,96.2500,1.8
2022-01-17,S001,P0096,152,95.4706,1.6
2022-01-18,S001,P0096,82,94.3333,0.9
2022-01-19,S001,P0096,136,91.3158,1.5
2022-01-20,S001,P0096,136,91.8000,1.5
2022-01-21,S001,P0096,90,89.0000,1.0
2022-01-22,S001,P0096,157,89.7727,1.7
2022-01-23,S001,P0096,110,89.3913,1.2
2022-01-24,S001,P0096,202,91.5417,2.2
2022-01-25,S001,P0096,174,93.4000,1.9
2022-01-01,S001,P0116,53,63.0000,0.8
2022-01-02,S001,P0116,147,62.5000,2.4
2022-01-03,S001,P0116,137,82.6667,1.7
2022-01-04,S001,P0116,162,85.5000,1.9
2022-01-05,S001,P0116,101,81.8000,1.2
2022-01-06,S001,P0116,188,87.3333,2.2
2022-01-07,S001,P0116,98,85.5714,1.1
2022-01-08,S001,P0116,213,89.2500,2.4
2022-01-09,S001,P0116,165,93.1111,1.8
2022-01-10,S001,P0116,143,90.2000,1.6
2022-01-11,S001,P0116,109,91.6364,1.2
2022-01-12,S001,P0116,96,90.0000,1.1
2022-01-13,S001,P0116,135,89.6923,1.5
2022-01-14,S001,P0116,113,86.2857,1.3
2022-01-15,S001,P0116,222,91.7333,2.4
2022-01-16,S001,P0116,163,91.6875,1.8
2022-01-17,S001,P0116,196,92.9412,2.1
2022-01-18,S001,P0116,135,93.1667,1.4
2022-01-19,S001,P0116,133,90.5789,1.5
2022-01-20,S001,P0116,107,88.8000,1.2
2022-01-21,S001,P0116,157,88.8571,1.8
2022-01-22,S001,P0116,120,88.9091,1.3
2022-01-23,S001,P0116,62,87.9130,0.7
2022-01-24,S001,P0116,101,86.0000,1.2
2022-01-25,S001,P0116,123,86.4800,1.4
2022-01-01,S001,P0125,169,101.0000,1.7
2022-01-02,S001,P0125,149,99.0000,1.5
2022-01-03,S001,P0125,104,82.0000,1.3
2022-01-04,S001,P0125,203,99.0000,2.1
2022-01-05,S001,P0125,156,106.4000,1.5
2022-01-06,S001,P0125,251,125.0000,2.0
2022-01-07,S001,P0125,89,120.8571,0.7
2022-01-08,S001,P0125,263,136.6250,1.9
2022-01-09,S001,P0125,241,136.0000,1.8
2022-01-10,S001,P0125,185,138.5000,1.3
2022-01-11,S001,P0125,223,138.4545,1.6
2022-01-12,S001,P0125,159,133.5000,1.2
2022-01-13,S001,P0125,214,133.2308,1.6
2022-01-14,S001,P0125,171,136.2857,1.3
2022-01-15,S001,P0125,88,132.8000,0.7
2022-01-16,S001,P0125,191,134.0625,1.4
2022-01-17,S001,P0125,170,135.9412,1.3
2022-01-18,S001,P0125,127,133.0000,1.0
2022-01-19,S001,P0125,168,131.2105,1.3
2022-01-20,S001,P0125,211,131.0500,1.6
2022-01-21,S001,P0125,177,130.5238,1.4
2022-01-22,S001,P0125,194,132.8636,1.5
2022-01-23,S001,P0125,136,130.9130,1.0
2022-01-24,S001,P0125,160,132.3750,1.2
2022-01-25,S001,P0125,175,131.3200,1.3
2022-01-01,S001,P0126,290,235.0000,1.2
2022-01-02,S001,P0126,173,168.5000,1.0
2022-01-03,S001,P0126,137,150.3333,0.9
2022-01-04,S001,P0126,338,185.0000,1.8
2022-01-05,S001,P0126,230,177.2000,1.3
2022-01-06,S001,P0126,135,168.5000,0.8
2022-01-07,S001,P0126,161,162.4286,1.0
2022-01-08,S001,P0126,81,151.5000,0.5
2022-01-09,S001,P0126,190,151.4444,1.3
2022-01-10,S001,P0126,147,145.7000,1.0
2022-01-11,S001,P0126,140,146.2727,1.0
2022-01-12,S001,P0126,126,141.4167,0.9
2022-01-13,S001,P0126,123,136.0000,0.9
2022-01-14,S001,P0126,120,132.0000,0.9
2022-01-15,S001,P0126,198,130.8000,1.5
2022-01-16,S001,P0126,119,129.5625,0.9
2022-01-17,S001,P0126,188,129.8824,1.4
2022-01-18,S001,P0126,163,127.8333,1.3
2022-01-19,S001,P0126,133,126.9474,1.0
2022-01-20,S001,P0126,165,127.3500,1.3
2022-01-21,S001,P0126,194,127.4762,1.5
2022-01-22,S001,P0126,176,129.1364,1.4
2022-01-23,S001,P0126,281,132.9130,2.1
2022-01-24,S001,P0126,203,133.2083,1.5
2022-01-01,S001,P0129,135,66.0000,2.0
2022-01-02,S001,P0129,115,53.0000,2.2
2022-01-03,S001,P0129,133,72.3333,1.8
2022-01-04,S001,P0129,179,80.0000,2.2
2022-01-05,S001,P0129,149,81.0000,1.8
2022-01-06,S001,P0129,82,79.5000,1.0
2022-01-07,S001,P0129,151,81.8571,1.8
2022-01-08,S001,P0129,145,83.1250,1.7
2022-01-09,S001,P0129,97,80.1111,1.2
2022-01-10,S001,P0129,202,85.4000,2.4
2022-01-11,S001,P0129,94,85.0909,1.1
2022-01-12,S001,P0129,184,86.6667,2.1
2022-01-13,S001,P0129,87,86.3077,1.0
2022-01-14,S001,P0129,131,85.2143,1.5
2022-01-15,S001,P0129,172,86.5333,2.0
2022-01-16,S001,P0129,105,86.8750,1.2
2022-01-17,S001,P0129,138,86.8824,1.6
2022-01-18,S001,P0129,84,85.8889,1.0
2022-01-19,S001,P0129,221,87.9474,2.5
2022-01-20,S001,P0129,121,87.8000,1.4
2022-01-21,S001,P0129,211,91.0952,2.3
2022-01-22,S001,P0129,156,90.3636,1.7
2022-01-23,S001,P0129,100,89.6957,1.1
2022-01-24,S001,P0129,249,92.9583,2.7
2022-01-25,S001,P0129,188,92.8400,2.0
2022-01-01,S001,P0133,131,80.0000,1.6
2022-01-02,S001,P0133,194,156.5000,1.2
2022-01-03,S001,P0133,239,170.3333,1.4
2022-01-04,S001,P0133,185,163.2500,1.1
2022-01-05,S001,P0133,144,148.8000,1.0
2022-01-06,S001,P0133,210,140.3333,1.5
2022-01-07,S001,P0133,222,140.4286,1.6
2022-01-08,S001,P0133,145,136.0000,1.1
2022-01-09,S001,P0133,124,126.6667,1.0
2022-01-10,S001,P0133,221,131.2000,1.7
2022-01-11,S001,P0133,224,130.4545,1.7
2022-01-12,S001,P0133,179,128.1667,1.4
2022-01-13,S001,P0133,193,129.4615,1.5
2022-01-14,S001,P0133,140,126.9286,1.1
2022-01-15,S001,P0133,111,123.8000,0.9
2022-01-16,S001,P0133,198,124.1875,1.6
2022-01-17,S001,P0133,222,126.8235,1.8
2022-01-18,S001,P0133,290,131.0556,2.2
2022-01-19,S001,P0133,160,133.3684,1.2
2022-01-20,S001,P0133,203,132.5000,1.5
2022-01-21,S001,P0133,127,131.3810,1.0
2022-01-22,S001,P0133,147,131.3182,1.1
2022-01-23,S001,P0133,113,128.0000,0.9
2022-01-24,S001,P0133,183,128.2500,1.4
2022-01-01,S001,P0149,133,76.0000,1.8
2022-01-02,S001,P0149,191,87.5000,2.2
2022-01-03,S001,P0149,147,94.6667,1.6
2022-01-04,S001,P0149,28,78.2500,0.4
2022-01-05,S001,P0149,132,81.4000,1.6
2022-01-06,S001,P0149,153,82.6667,1.9
2022-01-07,S001,P0149,139,82.5714,1.7
2022-01-08,S001,P0149,182,87.7500,2.1
2022-01-09,S001,P0149,59,84.4444,0.7
2022-01-10,S001,P0149,170,83.9000,2.0
2022-01-11,S001,P0149,137,86.0909,1.6
2022-01-12,S001,P0149,112,88.8333,1.3
2022-01-13,S001,P0149,164,91.6154,1.8
2022-01-14,S001,P0149,228,95.9286,2.4
2022-01-15,S001,P0149,172,98.0000,1.8
2022-01-16,S001,P0149,152,99.5000,1.5
2022-01-17,S001,P0149,164,99.8235,1.6
2022-01-18,S001,P0149,208,100.6111,2.1
2022-01-19,S001,P0149,171,100.8947,1.7
2022-01-20,S001,P0149,144,99.5500,1.4
2022-01-21,S001,P0149,142,98.7143,1.4
2022-01-22,S001,P0149,124,99.1818,1.3
2022-01-23,S001,P0149,131,99.1739,1.3
2022-01-24,S001,P0149,165,98.2917,1.7
2022-01-01,S001,P0153,166,119.0000,1.4
2022-01-02,S001,P0153,129,97.0000,1.3
2022-01-03,S001,P0153,134,93.3333,1.4
2022-01-04,S001,P0153,211,105.7500,2.0
2022-01-05,S001,P0153,182,109.0000,1.7
2022-01-06,S001,P0153,126,106.0000,1.2
2022-01-07,S001,P0153,110,105.4286,1.0
2022-01-08,S001,P0153,133,101.6250,1.3
2022-01-09,S001,P0153,167,100.4444,1.7
2022-01-10,S001,P0153,165,98.2000,1.7
2022-01-11,S001,P0153,98,98.0909,1.0
2022-01-12,S001,P0153,159,97.2500,1.6
2022-01-13,S001,P0153,78,94.6923,0.8
2022-01-14,S001,P0153,135,93.8571,1.4
2022-01-15,S001,P0153,138,93.0000,1.5
