date,store_id,product_id,inventory_level,units_sold,units_ordered
1/1/2022,S002,P0175,90,56,60
1/1/2022,S002,P0178,225,139,132
1/1/2022,S002,P0183,56,50,49
1/1/2022,S002,P0187,129,97,96
1/1/2022,S003,P0016,189,184,176
1/1/2022,S003,P0017,122,65,57
1/1/2022,S003,P0031,154,67,71
1/1/2022,S003,P0046,186,205,186
1/1/2022,S003,P0057,115,115,101
1/1/2022,S003,P0061,248,158,167
1/1/2022,S003,P0066,272,158,189
1/1/2022,S003,P0067,185,112,93
1/1/2022,S003,P0068,147,68,68
1/1/2022,S003,P0069,185,176,152
1/1/2022,S003,P0070,77,70,64
1/1/2022,S003,P0079,189,111,104
1/1/2022,S003,P0083,182,147,165
1/1/2022,S003,P0085,128,129,122
1/1/2022,S003,P0094,191,176,154
1/1/2022,S003,P0096,149,86,79
1/1/2022,S003,P0116,119,104,118
1/1/2022,S003,P0125,280,217,247
1/1/2022,S003,P0126,297,248,222
1/1/2022,S003,P0129,207,144,120
1/1/2022,S003,P0133,273,185,183
1/1/2022,S003,P0149,153,86,84
1/1/2022,S003,P0153,148,110,124
1/1/2022,S003,P0159,119,108,100
1/1/2022,S003,P0166,101,113,101
1/1/2022,S003,P0171,164,85,72
1/1/2022,S003,P0175,89,85,74
1/1/2022,S003,P0178,173,100,102
1/1/2022,S003,P0183,103,77,81
1/1/2022,S003,P0187,109,129,108
1/1/2022,S004,P0016,209,144,131
1/1/2022,S004,P0017,157,120,127
1/1/2022,S004,P0031,135,81,67
1/1/2022,S004,P0046,192,143,138
1/1/2022,S004,P0057,298,205,208
1/1/2022,S004,P0061,192,116,109
1/1/2022,S004,P0066,232,186,193
1/1/2022,S004,P0067,163,104,124
1/1/2022,S004,P0068,123,53,59
1/1/2022,S004,P0069,146,71,66
1/1/2022,S004,P0070,113,94,97
1/1/2022,S004,P0079,101,52,61
1/1/2022,S004,P0083,201,110,120
1/1/2022,S004,P0085,227,112,129
1/1/2022,S004,P0094,197,118,132
1/1/2022,S004,P0096,181,89,104
1/1/2022,S004,P0116,149,59,69
1/1/2022,S004,P0125,221,156,137
1/1/2022,S004,P0126,195,157,153
1/1/2022,S004,P0129,166,99,90
1/1/2022,S004,P0133,207,127,139
1/1/2022,S004,P0149,128,84,95
1/1/2022,S004,P0153,68,36,29
1/1/2022,S004,P0159,72,66,65
1/1/2022,S004,P0166,96,51,46
1/1/2022,S004,P0171,199,117,136
1/1/2022,S004,P0175,179,75,80
1/1/2022,S004,P0178,109,95,94
1/1/2022,S004,P0183,82,65,64
1/1/2022,S004,P0187,133,81,92
1/1/2022,S005,P0016,165,134,114
1/1/2022,S005,P0017,115,50,57
1/1/2022,S005,P0031,157,138,129
1/1/2022,S005,P0046,129,70,76
1/1/2022,S005,P0057,206,133,123
1/1/2022,S005,P0061,215,140,154
1/1/2022,S005,P0066,250,189,215
1/1/2022,S005,P0067,220,114,130
1/1/2022,S005,P0068,88,63,57
1/1/2022,S005,P0069,156,118,118
1/1/2022,S005,P0070,111,83,96
1/1/2022,S005,P0079,156,91,83
1/1/2022,S005,P0083,193,124,106
1/1/2022,S005,P0085,96,99,85
1/1/2022,S005,P0094,189,108,93
1/1/2022,S005,P0096,108,55,50
1/1/2022,S005,P0116,151,130,134
1/1/2022,S005,P0125,189,149,128
1/1/2022,S005,P0126,164,118,131
1/1/2022,S005,P0129,115,120,103
1/1/2022,S005,P0133,152,68,72
1/1/2022,S005,P0149,88,89,78
1/1/2022,S005,P0153,110,80,76
1/1/2022,S005,P0159,152,78,79
1/1/2022,S005,P0166,123,64,58
1/1/2022,S005,P0171,147,85,81
1/1/2022,S005,P0175,98,71,70
1/1/2022,S005,P0178,239,225,216
1/1/2022,S005,P0183,142,129,109
1/1/2022,S005,P0187,180,93,111
1/2/2022,S001,P0016,84,74,82
1/2/2022,S001,P0017,110,106,92
1/2/2022,S001,P0031,185,117,129
1/2/2022,S001,P0046,89,68,61
1/2/2022,S001,P0057,156,73,70
1/2/2022,S001,P0061,168,120,118
1/2/2022,S001,P0066,169,117,134
1/2/2022,S001,P0067,72,53,52
1/2/2022,S001,P0068,147,82,97
1/2/2022,S001,P0069,209,152,141
1/2/2022,S001,P0070,217,158,152
1/2/2022,S001,P0079,59,38,35
1/2/2022,S001,P0083,209,125,141
1/2/2022,S001,P0085,105,36,36
1/2/2022,S001,P0094,115,82,71
1/2/2022,S001,P0096,91,58,69
1/2/2022,S001,P0116,147,62,54
1/2/2022,S001,P0125,149,97,110
1/2/2022,S001,P0126,173,102,107
1/2/2022,S001,P0129,115,40,44
1/2/2022,S001,P0133,194,233,189
1/2/2022,S001,P0149,191,99,98
1/2/2022,S001,P0153,129,75,70
1/2/2022,S001,P0159,125,36,37
1/2/2022,S001,P0166,134,124,121
1/2/2022,S001,P0171,103,95,91
1/2/2022,S001,P0175,131,81,85
1/2/2022,S001,P0178,159,122,101
1/2/2022,S001,P0183,146,86,98
1/2/2022,S001,P0187,169,168,162
1/2/2022,S002,P0016,136,162,134
1/2/2022,S002,P0017,102,101,97
1/2/2022,S002,P0031,142,115,105
1/2/2022,S002,P0046,201,140,112
1/2/2022,S002,P0057,211,134,131
1/2/2022,S002,P0061,160,159,157
1/2/2022,S002,P0066,189,102,109
1/2/2022,S002,P0067,97,72,71
1/2/2022,S002,P0068,55,51,51
1/2/2022,S002,P0069,162,113,114
1/2/2022,S002,P0070,49,26,29
1/2/2022,S002,P0079,139,123,132
1/2/2022,S002,P0083,188,125,132
1/2/2022,S002,P0085,93,17,20
1/2/2022,S002,P0094,162,80,94
1/2/2022,S002,P0096,142,79,83
1/2/2022,S002,P0116,182,91,98
1/2/2022,S002,P0125,139,92,95
1/2/2022,S002,P0126,251,144,163
1/2/2022,S002,P0129,92,101,81
1/2/2022,S002,P0133,204,152,154
1/2/2022,S002,P0149,152,68,65
1/2/2022,S002,P0153,118,65,66
1/2/2022,S002,P0159,118,54,45
1/2/2022,S002,P0166,112,75,81
1/2/2022,S002,P0171,102,93,87
1/2/2022,S002,P0175,153,103,101
1/2/2022,S002,P0178,188,105,118
1/2/2022,S002,P0183,148,90,104
1/2/2022,S002,P0187,232,122,138
1/2/2022,S003,P0016,147,103,113
1/2/2022,S003,P0017,156,85,82
1/2/2022,S003,P0031,113,113,111
1/2/2022,S003,P0046,210,107,127
1/2/2022,S003,P0057,175,77,84
1/2/2022,S003,P0061,223,132,128
1/2/2022,S003,P0066,105,67,77
1/2/2022,S003,P0067,68,54,49
1/2/2022,S003,P0068,183,71,84
1/2/2022,S003,P0069,271,245,201
1/2/2022,S003,P0070,95,76,64
1/2/2022,S003,P0079,91,46,49
1/2/2022,S003,P0083,140,94,86
1/2/2022,S003,P0085,129,96,82
1/2/2022,S003,P0094,91,42,45
1/2/2022,S003,P0096,172,126,109
1/2/2022,S003,P0116,155,88,101
1/2/2022,S003,P0125,150,98,90
1/2/2022,S003,P0126,166,102,122
1/2/2022,S003,P0129,151,97,95
1/2/2022,S003,P0133,245,194,196
1/2/2022,S003,P0149,106,67,76
1/2/2022,S003,P0153,141,70,76
1/2/2022,S003,P0159,203,97,105
1/2/2022,S003,P0166,111,106,91
1/2/2022,S003,P0171,224,113,129
1/2/2022,S003,P0175,49,52,48
1/2/2022,S003,P0178,88,77,88
1/2/2022,S003,P0183,135,68,61
1/2/2022,S003,P0187,110,103,105
1/2/2022,S004,P0016,162,99,91
1/2/2022,S004,P0017,163,106,85
1/2/2022,S004,P0031,155,57,58
1/2/2022,S004,P0046,157,142,124
1/2/2022,S004,P0057,155,151,125
1/2/2022,S004,P0061,296,185,211
1/2/2022,S004,P0066,139,104,87
1/2/2022,S004,P0067,107,87,94
1/2/2022,S004,P0068,186,109,87
1/2/2022,S004,P0069,319,227,248
1/2/2022,S004,P0070,131,121,103
1/2/2022,S004,P0079,215,116,121
1/2/2022,S004,P0083,197,112,113
1/2/2022,S004,P0085,190,134,145
1/2/2022,S004,P0094,173,76,87
1/2/2022,S004,P0096,166,63,67
1/2/2022,S004,P0116,257,153,175
1/2/2022,S004,P0125,189,130,111
1/2/2022,S004,P0126,203,174,165
1/2/2022,S004,P0129,185,103,98
1/2/2022,S004,P0133,163,128,150
1/2/2022,S004,P0149,35,40,35
1/2/2022,S004,P0153,120,69,60
1/2/2022,S004,P0159,134,73,83
1/2/2022,S004,P0166,96,70,73
1/2/2022,S004,P0171,164,69,81
1/2/2022,S004,P0175,186,106,109
1/2/2022,S004,P0178,151,77,82
1/2/2022,S004,P0183,205,112,118
1/2/2022,S004,P0187,217,148,120
1/2/2022,S005,P0016,108,97,100
1/2/2022,S005,P0017,119,114,108
1/2/2022,S005,P0031,59,25,20
1/2/2022,S005,P0046,175,101,120
1/2/2022,S005,P0057,185,117,121
1/2/2022,S005,P0061,131,120,98
1/2/2022,S005,P0066,155,141,136
1/2/2022,S005,P0067,123,119,106
1/2/2022,S005,P0068,63,56,57
1/2/2022,S005,P0069,120,108,111
1/2/2022,S005,P0070,135,85,72
1/2/2022,S005,P0079,156,74,84
1/2/2022,S005,P0083,139,106,114
1/2/2022,S005,P0085,110,108,96
1/2/2022,S005,P0094,145,67,67
1/2/2022,S005,P0096,198,108,123
1/2/2022,S005,P0116,146,95,105
1/2/2022,S005,P0125,133,108,104
1/2/2022,S005,P0126,161,138,113
1/2/2022,S005,P0129,199,126,104
1/2/2022,S005,P0133,139,123,114
1/2/2022,S005,P0149,140,83,71
1/2/2022,S005,P0153,161,93,85
1/2/2022,S005,P0159,58,38,32
1/2/2022,S005,P0166,146,92,99
1/2/2022,S005,P0171,145,114,105
1/2/2022,S005,P0175,53,58,48
1/2/2022,S005,P0178,97,79,90
1/2/2022,S005,P0183,112,38,36
1/2/2022,S005,P0187,100,81,80
1/3/2022,S001,P0016,184,183,183
1/3/2022,S001,P0017,189,103,109
1/3/2022,S001,P0031,218,164,168
1/3/2022,S001,P0046,112,103,111
1/3/2022,S001,P0057,101,111,89
1/3/2022,S001,P0061,194,143,156
1/3/2022,S001,P0066,101,78,66
1/3/2022,S001,P0067,264,169,199
1/3/2022,S001,P0068,116,113,98
1/3/2022,S001,P0069,192,120,102
1/3/2022,S001,P0070,123,73,58
1/3/2022,S001,P0079,78,50,52
1/3/2022,S001,P0083,227,115,131
1/3/2022,S001,P0085,86,82,72
1/3/2022,S001,P0094,199,189,161
1/3/2022,S001,P0096,187,169,138
1/3/2022,S001,P0116,137,123,124
1/3/2022,S001,P0125,104,48,45
1/3/2022,S001,P0126,137,114,98
1/3/2022,S001,P0129,133,111,112
1/3/2022,S001,P0133,239,198,204
1/3/2022,S001,P0149,147,109,93
1/3/2022,S001,P0153,134,86,81
1/3/2022,S001,P0159,128,89,91
1/3/2022,S001,P0166,138,45,53
1/3/2022,S001,P0171,198,173,149
1/3/2022,S001,P0175,186,133,135
1/3/2022,S001,P0178,48,31,32
1/3/2022,S001,P0183,142,108,87
1/3/2022,S001,P0187,165,131,127
1/3/2022,S002,P0016,215,135,136
1/3/2022,S002,P0017,184,151,171
1/3/2022,S002,P0031,78,74,72
1/3/2022,S002,P0046,154,100,83
1/3/2022,S002,P0057,176,154,168
1/3/2022,S002,P0061,183,123,137
1/3/2022,S002,P0066,126,61,56
1/3/2022,S002,P0067,160,71,84
1/3/2022,S002,P0068,146,113,99
1/3/2022,S002,P0069,234,162,185
1/3/2022,S002,P0070,216,121,119
1/3/2022,S002,P0079,201,104,115
1/3/2022,S002,P0083,132,116,116
1/3/2022,S002,P0085,94,100,88
1/3/2022,S002,P0094,151,59,58
1/3/2022,S002,P0096,95,41,39
1/3/2022,S002,P0116,184,121,109
1/3/2022,S002,P0125,339,238,250
1/3/2022,S002,P0126,201,168,200
1/3/2022,S002,P0129,205,137,122
1/3/2022,S002,P0133,212,162,154
1/3/2022,S002,P0149,182,103,88
1/3/2022,S002,P0153,136,104,86
1/3/2022,S002,P0159,142,56,58
1/3/2022,S002,P0166,106,97,104
1/3/2022,S002,P0171,206,155,129
1/3/2022,S002,P0175,231,146,165
1/3/2022,S002,P0178,199,121,139
1/3/2022,S002,P0183,61,56,55
1/3/2022,S002,P0187,163,104,123
1/3/2022,S003,P0016,208,114,109
1/3/2022,S003,P0017,60,33,35
1/3/2022,S003,P0031,124,81,66
1/3/2022,S003,P0046,134,146,128
1/3/2022,S003,P0057,210,107,128
1/3/2022,S003,P0061,192,119,105
1/3/2022,S003,P0066,163,96,92
1/3/2022,S003,P0067,124,95,105
1/3/2022,S003,P0068,167,100,117
1/3/2022,S003,P0069,161,153,135
1/3/2022,S003,P0070,137,143,119
1/3/2022,S003,P0079,89,59,63
1/3/2022,S003,P0083,90,55,48
1/3/2022,S003,P0085,171,102,100
1/3/2022,S003,P0094,237,157,156
1/3/2022,S003,P0096,116,45,52
1/3/2022,S003,P0116,118,108,92
1/3/2022,S003,P0125,168,136,126
1/3/2022,S003,P0126,257,182,168
1/3/2022,S003,P0129,170,100,102
1/3/2022,S003,P0133,138,102,96
1/3/2022,S003,P0149,109,78,83
1/3/2022,S003,P0153,112,63,65
1/3/2022,S003,P0159,183,97,112
1/3/2022,S003,P0166,60,46,42
1/3/2022,S003,P0171,148,122,124
1/3/2022,S003,P0175,209,128,133
1/3/2022,S003,P0178,221,160,179
1/3/2022,S003,P0183,52,31,30
1/3/2022,S003,P0187,159,147,126
1/3/2022,S004,P0016,251,163,163
1/3/2022,S004,P0017,125,102,91
1/3/2022,S004,P0031,138,110,99
1/3/2022,S004,P0046,148,88,85
1/3/2022,S004,P0057,49,36,32
1/3/2022,S004,P0061,94,33,32
1/3/2022,S004,P0066,173,120,121
1/3/2022,S004,P0067,149,111,117
1/3/2022,S004,P0068,143,82,68
1/3/2022,S004,P0069,126,118,114
1/3/2022,S004,P0070,147,73,66
1/3/2022,S004,P0079,166,84,83
1/3/2022,S004,P0083,75,5,20
1/3/2022,S004,P0085,100,68,67
1/3/2022,S004,P0094,181,109,118
1/3/2022,S004,P0096,74,52,56
1/3/2022,S004,P0116,191,122,100
1/3/2022,S004,P0125,179,118,129
1/3/2022,S004,P0126,168,128,129
1/3/2022,S004,P0129,79,56,49
1/3/2022,S004,P0133,229,147,133
1/3/2022,S004,P0149,198,121,101
1/3/2022,S004,P0153,53,28,31
1/3/2022,S004,P0159,53,29,34
1/3/2022,S004,P0166,89,75,69
1/3/2022,S004,P0171,154,73,86
1/3/2022,S004,P0175,144,99,97
1/3/2022,S004,P0178,193,158,158
1/3/2022,S004,P0183,92,46,52
1/3/2022,S004,P0187,193,138,160
1/3/2022,S005,P0016,235,137,143
1/3/2022,S005,P0017,37,27,21
1/3/2022,S005,P0031,202,118,120
1/3/2022,S005,P0046,226,169,161
1/3/2022,S005,P0057,288,238,223
1/3/2022,S005,P0061,135,100,98
1/3/2022,S005,P0066,256,201,193
1/3/2022,S005,P0067,169,91,102
1/3/2022,S005,P0068,152,106,122
1/3/2022,S005,P0069,130,130,106
1/3/2022,S005,P0070,123,82,79
1/3/2022,S005,P0079,184,160,155
1/3/2022,S005,P0083,234,125,146
1/3/2022,S005,P0085,172,124,112
1/3/2022,S005,P0094,164,143,141
1/3/2022,S005,P0096,165,76,88
1/3/2022,S005,P0116,75,51,49
1/3/2022,S005,P0125,181,160,167
1/3/2022,S005,P0126,191,202,162
1/3/2022,S005,P0129,230,145,156
1/3/2022,S005,P0133,312,233,269
1/3/2022,S005,P0149,164,82,94
1/3/2022,S005,P0153,101,96,100
1/3/2022,S005,P0159,158,97,105
1/3/2022,S005,P0166,122,50,50
1/3/2022,S005,P0171,115,70,68
1/3/2022,S005,P0175,132,76,84
1/3/2022,S005,P0178,182,163,166
1/3/2022,S005,P0183,94,48,46
1/3/2022,S005,P0187,129,110,99
1/4/2022,S001,P0016,93,102,85
1/4/2022,S001,P0017,194,118,119
1/4/2022,S001,P0031,99,67,56
1/4/2022,S001,P0046,81,92,74
1/4/2022,S001,P0057,200,134,149
1/4/2022,S001,P0061,153,76,78
1/4/2022,S001,P0066,245,124,146
1/4/2022,S001,P0067,91,67,67
1/4/2022,S001,P0068,105,72,66
1/4/2022,S001,P0069,199,145,148
1/4/2022,S001,P0070,69,69,65
1/4/2022,S001,P0079,101,71,79
1/4/2022,S001,P0083,241,146,171
1/4/2022,S001,P0085,73,79,70
1/4/2022,S001,P0094,131,92,77
1/4/2022,S001,P0096,145,82,68
1/4/2022,S001,P0116,162,94,75
1/4/2022,S001,P0125,203,150,153
1/4/2022,S001,P0126,338,289,298
1/4/2022,S001,P0129,179,103,117
1/4/2022,S001,P0133,185,142,139
1/4/2022,S001,P0149,28,29,26
1/4/2022,S001,P0153,211,143,115
1/4/2022,S001,P0159,141,129,116
1/4/2022,S001,P0166,158,57,62
1/4/2022,S001,P0171,145,119,108
1/4/2022,S001,P0175,70,55,50
1/4/2022,S001,P0178,91,72,63
1/4/2022,S001,P0183,101,52,59
1/4/2022,S001,P0187,214,199,168
1/4/2022,S002,P0016,272,229,258
1/4/2022,S002,P0017,64,32,30
1/4/2022,S002,P0031,164,119,95
1/4/2022,S002,P0046,178,151,150
1/4/2022,S002,P0057,137,115,126
1/4/2022,S002,P0061,143,42,46
1/4/2022,S002,P0066,202,137,161
1/4/2022,S002,P0067,105,47,52
1/4/2022,S002,P0068,105,94,97
1/4/2022,S002,P0069,207,174,195
1/4/2022,S002,P0070,172,100,86
1/4/2022,S002,P0079,186,96,106
1/4/2022,S002,P0083,140,122,105
1/4/2022,S002,P0085,207,102,119
1/4/2022,S002,P0094,212,99,115
1/4/2022,S002,P0096,98,56,49
1/4/2022,S002,P0116,102,56,46
1/4/2022,S002,P0125,159,126,105
1/4/2022,S002,P0126,188,89,106
1/4/2022,S002,P0129,194,97,103
1/4/2022,S002,P0133,133,151,126
1/4/2022,S002,P0149,172,65,75
1/4/2022,S002,P0153,197,104,104
1/4/2022,S002,P0159,77,69,59
1/4/2022,S002,P0166,162,110,115
1/4/2022,S002,P0171,217,134,119
1/4/2022,S002,P0175,79,33,34
1/4/2022,S002,P0178,101,105,97
1/4/2022,S002,P0183,206,104,110
1/4/2022,S002,P0187,119,92,87
1/4/2022,S003,P0016,220,144,158
1/4/2022,S003,P0017,126,109,112
1/4/2022,S003,P0031,71,38,40
1/4/2022,S003,P0046,151,93,76
1/4/2022,S003,P0057,171,171,151
1/4/2022,S003,P0061,106,55,51
1/4/2022,S003,P0066,75,38,31
1/4/2022,S003,P0067,117,95,86
1/4/2022,S003,P0068,128,80,87
1/4/2022,S003,P0069,148,85,71
1/4/2022,S003,P0070,118,133,117
1/4/2022,S003,P0079,71,20,23
1/4/2022,S003,P0083,146,85,70
1/4/2022,S003,P0085,187,110,96
1/4/2022,S003,P0094,102,65,66
1/4/2022,S003,P0096,171,95,103
1/4/2022,S003,P0116,132,107,97
1/4/2022,S003,P0125,170,138,112
1/4/2022,S003,P0126,92,79,71
1/4/2022,S003,P0129,105,75,84
1/4/2022,S003,P0133,68,55,56
1/4/2022,S003,P0149,80,49,56
1/4/2022,S003,P0153,178,113,90
1/4/2022,S003,P0159,63,39,37
1/4/2022,S003,P0166,92,52,50
1/4/2022,S003,P0171,148,59,52
1/4/2022,S003,P0175,194,111,121
1/4/2022,S003,P0178,154,100,113
1/4/2022,S003,P0183,136,119,103
1/4/2022,S003,P0187,151,99,89
1/4/2022,S004,P0016,125,135,117
1/4/2022,S004,P0017,138,101,95
1/4/2022,S004,P0031,176,99,114
1/4/2022,S004,P0046,250,173,165
1/4/2022,S004,P0057,244,155,185
1/4/2022,S004,P0061,38,34,33
1/4/2022,S004,P0066,90,65,58
1/4/2022,S004,P0067,157,115,109
1/4/2022,S004,P0068,91,82,84
1/4/2022,S004,P0069,199,125,133
1/4/2022,S004,P0070,69,30,30
1/4/2022,S004,P0079,158,58,66
1/4/2022,S004,P0083,154,102,90
1/4/2022,S004,P0085,65,29,32
1/4/2022,S004,P0094,146,63,52
1/4/2022,S004,P0096,146,41,47
1/4/2022,S004,P0116,187,132,117
1/4/2022,S004,P0125,96,82,73
1/4/2022,S004,P0126,249,263,226
1/4/2022,S004,P0129,105,47,38
1/4/2022,S004,P0133,147,136,135
1/4/2022,S004,P0149,139,110,121
1/4/2022,S004,P0153,204,117,130
1/4/2022,S004,P0159,226,157,164
1/4/2022,S004,P0166,256,170,199
1/4/2022,S004,P0171,153,135,110
1/4/2022,S004,P0175,159,95,106
1/4/2022,S004,P0178,216,201,162
1/4/2022,S004,P0183,159,67,64
1/4/2022,S004,P0187,224,149,168
1/4/2022,S005,P0016,210,135,117
1/4/2022,S005,P0017,153,119,109
1/4/2022,S005,P0031,78,70,62
1/4/2022,S005,P0046,180,147,154
1/4/2022,S005,P0057,215,150,142
1/4/2022,S005,P0061,167,93,102
1/4/2022,S005,P0066,214,185,158
1/4/2022,S005,P0067,118,52,43
1/4/2022,S005,P0068,88,56,60
1/4/2022,S005,P0069,119,120,101
1/4/2022,S005,P0070,207,156,165
1/4/2022,S005,P0079,92,41,44
1/4/2022,S005,P0083,80,101,80
1/4/2022,S005,P0085,76,78,75
1/4/2022,S005,P0094,105,97,88
1/4/2022,S005,P0096,125,57,61
1/4/2022,S005,P0116,197,184,152
1/4/2022,S005,P0125,210,149,125
1/4/2022,S005,P0126,187,141,156
1/4/2022,S005,P0129,130,89,101
1/4/2022,S005,P0133,73,42,38
1/4/2022,S005,P0149,143,96,80
1/4/2022,S005,P0153,148,78,91
1/4/2022,S005,P0159,123,104,119
1/4/2022,S005,P0166,156,94,96
1/4/2022,S005,P0171,177,119,108
1/4/2022,S005,P0175,99,75,69
1/4/2022,S005,P0178,154,113,109
1/4/2022,S005,P0183,153,110,113
1/4/2022,S005,P0187,170,152,165
1/5/2022,S001,P0016,186,128,106
1/5/2022,S001,P0017,119,118,108
1/5/2022,S001,P0031,88,106,86
1/5/2022,S001,P0046,179,104,114
1/5/2022,S001,P0057,182,147,149
1/5/2022,S001,P0061,243,177,168
1/5/2022,S001,P0066,180,111,100
1/5/2022,S001,P0067,229,127,141
1/5/2022,S001,P0068,109,99,96
1/5/2022,S001,P0069,206,190,173
1/5/2022,S001,P0070,98,93,95
1/5/2022,S001,P0079,173,86,98
1/5/2022,S001,P0083,149,69,78
1/5/2022,S001,P0085,98,44,35
1/5/2022,S001,P0094,112,100,112
1/5/2022,S001,P0096,143,115,135
1/5/2022,S001,P0116,101,67,62
1/5/2022,S001,P0125,156,136,112
1/5/2022,S001,P0126,230,146,156
1/5/2022,S001,P0129,149,85,95
1/5/2022,S001,P0133,144,91,82
1/5/2022,S001,P0149,132,94,93
1/5/2022,S001,P0153,182,122,119
1/5/2022,S001,P0159,173,177,142
1/5/2022,S001,P0166,110,89,103
1/5/2022,S001,P0171,107,86,69
1/5/2022,S001,P0175,114,60,62
1/5/2022,S001,P0178,117,27,26
1/5/2022,S001,P0183,202,120,131
1/5/2022,S001,P0187,268,159,183
1/5/2022,S002,P0016,157,141,126
1/5/2022,S002,P0017,79,50,51
1/5/2022,S002,P0031,169,133,144
1/5/2022,S002,P0046,160,102,83
1/5/2022,S002,P0057,97,78,69
1/5/2022,S002,P0061,242,175,205
1/5/2022,S002,P0066,162,85,72
1/5/2022,S002,P0067,145,122,105
1/5/2022,S002,P0068,145,72,60
1/5/2022,S002,P0069,113,70,80
1/5/2022,S002,P0070,134,104,85
1/5/2022,S002,P0079,191,99,115
1/5/2022,S002,P0083,156,79,80
1/5/2022,S002,P0085,202,118,107
1/5/2022,S002,P0094,159,121,102
1/5/2022,S002,P0096,114,75,68
1/5/2022,S002,P0116,97,57,52
1/5/2022,S002,P0125,296,183,213
1/5/2022,S002,P0126,174,140,160
1/5/2022,S002,P0129,159,105,108
1/5/2022,S002,P0133,216,142,121
1/5/2022,S002,P0149,149,124,141
1/5/2022,S002,P0153,182,77,87
1/5/2022,S002,P0159,131,123,119
1/5/2022,S002,P0166,107,64,62
1/5/2022,S002,P0171,136,90,72
1/5/2022,S002,P0175,145,71,72
1/5/2022,S002,P0178,232,187,186
1/5/2022,S002,P0183,145,116,130
1/5/2022,S002,P0187,101,109,100
1/5/2022,S003,P0016,263,151,179
1/5/2022,S003,P0017,94,46,45
1/5/2022,S003,P0031,99,64,64
1/5/2022,S003,P0046,207,120,143
1/5/2022,S003,P0057,104,117,103
1/5/2022,S003,P0061,118,120,100
1/5/2022,S003,P0066,139,47,48
1/5/2022,S003,P0067,64,49,54
1/5/2022,S003,P0068,100,115,100
1/5/2022,S003,P0069,223,158,128
1/5/2022,S003,P0070,107,81,82
1/5/2022,S003,P0079,58,62,50
1/5/2022,S003,P0083,164,77,84
1/5/2022,S003,P0085,177,141,144
1/5/2022,S003,P0094,176,118,134
1/5/2022,S003,P0096,140,53,51
1/5/2022,S003,P0116,203,114,111
1/5/2022,S003,P0125,203,127,107
1/5/2022,S003,P0126,137,88,96
1/5/2022,S003,P0129,69,40,44
1/5/2022,S003,P0133,183,90,86
1/5/2022,S003,P0149,243,174,149
1/5/2022,S003,P0153,135,67,63
1/5/2022,S003,P0159,156,120,111
1/5/2022,S003,P0166,105,107,86
1/5/2022,S003,P0171,144,64,66
1/5/2022,S003,P0175,50,43,48
1/5/2022,S003,P0178,160,103,112
1/5/2022,S003,P0183,185,126,111
1/5/2022,S003,P0187,190,137,116
1/5/2022,S004,P0016,97,105,93
1/5/2022,S004,P0017,152,116,137
1/5/2022,S004,P0031,140,67,63
1/5/2022,S004,P0046,198,103,115
1/5/2022,S004,P0057,158,121,122
1/5/2022,S004,P0061,87,89,82
1/5/2022,S004,P0066,85,97,81
